,state,statename,county_fips,Year,BSC,colleges,Rural_Pct,Population,Income,HomePrice,Families,PctBachelors,EmploymentRate,InformationJobs,AgJobs,PublicTrans,BornInState,HighSchoolGrads,MobileHomes,AptBuildings,NoEnglish,InformationJobsPer,ArmedForcesPer,Unemployed,TotalHouseholds,SameHouseResidence,TractArea,PopDensity
0,1,Alabama,01001,2011,4,0,42.00216232,53944.0,27807.0,137500.0,5179.0,14.8,24139.0,1.0,1.2,0.2,67.1,86.5,20.6,0.9,0.0,1.0,1.7,4.8,19998.0,45300.0,594.439,90.74774703544014
1,1,Alabama,01003,2011,4,2,42.27909911,179523.0,25937.0,175700.0,14768.0,18.4,79963.0,1.7,1.8,0.2,54.5,87.9,13.0,12.9,0.0,1.7,0.2,4.6,70757.0,147609.0,1589.808,112.92118293529785
2,1,Alabama,01005,2011,3,0,67.78963470000001,27546.0,15715.0,91600.0,1359.0,7.8,9637.0,0.8,3.7,0.2,68.6,72.4,27.1,0.8,0.0,0.8,0.0,6.5,9589.0,22270.0,884.877,31.129750236473544
3,1,Alabama,01007,2011,2,0,68.35260746,22746.0,20878.0,87500.0,1431.0,7.7,9353.0,0.5,1.9,0.6,85.7,75.9,29.9,0.8,0.0,0.5,0.0,5.5,7225.0,20493.0,622.5830000000001,36.534887717782205
4,1,Alabama,01009,2011,3,0,89.95150204,57140.0,22529.0,111500.0,4767.0,7.2,24174.0,1.4,3.1,0.3,79.5,73.2,22.7,0.3,0.0,1.4,0.1,5.4,20954.0,48985.0,644.807,88.61566329149652
5,1,Alabama,01011,2011,2,0,51.37438153,10877.0,18583.0,68000.0,414.0,8.7,4007.0,1.7,11.1,0.0,84.8,72.0,27.8,0.2,0.0,1.7,0.0,8.4,3760.0,9071.0,622.806,17.464507406800834
6,1,Alabama,01013,2011,3,0,71.23215735,20860.0,18044.0,74300.0,1012.0,8.5,8076.0,1.1,3.7,0.4,84.7,74.7,21.1,0.6,0.0,1.1,0.0,6.8,8090.0,19193.0,776.828,26.852791094038835
7,1,Alabama,01015,2011,3,1,33.69682556,117614.0,19529.0,99600.0,7315.0,9.7,47597.0,1.8,0.9,0.3,72.3,77.9,14.9,2.1,0.0,1.8,0.2,6.9,45923.0,96878.0,605.889,194.11806452997166
8,1,Alabama,01017,2011,3,0,49.14803449,34375.0,17515.0,82400.0,1870.0,6.7,13570.0,3.0,1.3,0.2,73.4,74.2,16.2,1.4,0.0,3.0,0.0,8.6,13562.0,28858.0,596.531,57.62483425002222
9,1,Alabama,01019,2011,3,0,85.73627304,25819.0,20788.0,96200.0,2377.0,6.5,10369.0,0.9,2.2,0.0,57.3,73.5,32.8,0.5,0.1,0.9,0.1,7.3,11508.0,22888.0,553.72,46.628259770281005
10,1,Alabama,01021,2011,3,0,86.74472424,43444.0,21680.0,104300.0,3771.0,7.7,18051.0,1.1,3.3,0.1,81.1,74.8,30.7,0.1,0.0,1.1,0.0,6.7,16277.0,37827.0,692.8539999999999,62.70296483819102
11,1,Alabama,01023,2011,2,0,100.0,13953.0,15695.0,61400.0,695.0,6.3,4439.0,0.1,6.8,0.5,60.7,73.6,27.4,0.9,0.0,0.1,0.0,7.7,5165.0,12767.0,913.5,15.274220032840722
12,1,Alabama,01025,2011,2,0,75.98033523,26046.0,16749.0,79900.0,1349.0,8.3,8488.0,0.4,3.2,0.4,85.3,78.1,24.4,0.3,0.0,0.4,0.0,7.1,9114.0,24064.0,1238.4660000000001,21.030855913686768
13,1,Alabama,01027,2011,3,0,100.0,14010.0,21005.0,83400.0,1077.0,6.4,5608.0,1.4,4.9,0.4,80.0,72.8,26.7,0.5,0.0,1.4,0.2,6.1,5837.0,12198.0,603.961,23.19686204903959
14,1,Alabama,01029,2011,3,0,100.0,14881.0,18456.0,88200.0,1107.0,5.6,5996.0,1.4,5.6,0.1,56.5,73.0,27.9,0.1,0.0,1.4,0.1,7.3,5521.0,12876.0,560.105,26.568232742075146
15,1,Alabama,01031,2011,4,0,47.19508289,49221.0,23599.0,121800.0,3607.0,13.3,19379.0,0.7,4.3,0.1,60.8,80.2,16.5,0.1,0.0,0.7,4.4,4.0,18799.0,40446.0,678.9860000000001,72.49192177747405
