IPEDSID,NAME,LADDR,LADDR2,LCITY,LSTATE,LZIP,LZIP4,COUNTRY,PHONE,STFIPS,COFIPS,LAT,LON,SECTOR,LEVEL,INST_TYPE,NAICS_CODE,NAICS_DESC,HI_OFFER,DEG_GRANT,LOCALE,STATUS,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,FTE,NCES_URL,SCHOOL_URL,SHELTER_ID,LAST_UPDAT
141468,Heald College-Honolulu,1500 Kapiolani Blvd,,Honolulu,HI,96814,,US,8089551500,15,15003,21.29302373700,-157.84140424800,6,2,3,611210,Junior Colleges,40,1,11,A,-2,-2,,2,2,320,753,1073,2,0,89,http://nces.ed.gov/GLOBALLOCATOR/,www.heald.edu/campus_locations/campus_honolulu.htm,,2010/09/01
141671,Hollywood Beauty College,99-084 Kauhale St Bldg A,,Aiea,HI,96701,2367,US,80848672550,15,15003,21.37913200000,-157.93153500000,6,2,3,611511,Cosmetology and Barber Schools,-3,-3,21,D,04/01/2008,-2,,-3,-2,0,0,0,0,0,8,http://nces.ed.gov/GLOBALLOCATOR/,www.hollywoodbeautycollege.com,,2010/01/15
141811,Leeward Community College,96-045 Ala Ike,,Pearl City,HI,96782,3393,US,8084550011,15,15003,21.39280224900,-157.98509855400,4,2,1,611210,Junior Colleges,40,1,21,A,-2,-2,LCC |Leeward CC,3,3,3889,2882,6771,2,0,382,http://nces.ed.gov/GLOBALLOCATOR/,www.leeward.hawaii.edu/,,2010/09/01
141848,Med-Assist School of Hawaii Inc,33 S King Ste 223,,Honolulu,HI,96813,,US,8085243363,15,15003,21.31009100000,-157.86265100000,9,3,3,611519,Other Technical and Trade Schools,0,2,11,A,-2,-2,,-3,1,0,83,83,2,0,16,http://nces.ed.gov/GLOBALLOCATOR/,www.mash.edu/,,2010/01/15
141857,New York Technical Institute of Hawaii,1375 Dillingham Boulevard,,Honolulu,HI,96817,4415,US,8088415827,15,15003,21.32324000000,-157.87523500000,9,3,3,611519,Other Technical and Trade Schools,0,2,11,M,2008,-2,,-3,1,50,50,100,2,0,9,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/01/15
141936,World Medicine Institute,1073 Hind Iuka Drive,,Honolulu,HI,96821,,US,8089491050,15,15003,21.29643876700,-157.75471904500,2,1,2,611310,"Colleges, Universities, and Professional Schools",20,1,11,A,-2,-2,,-2,1,0,39,39,2,0,22,http://nces.ed.gov/GLOBALLOCATOR/,acupuncture-hi.com,,2010/09/01
141945,Travel Institute of the Pacific,1314 S King St Ste 1164,,Honolulu,HI,96814,,US,8085912708,15,15003,21.29895900000,-157.84152900000,9,3,3,611519,Other Technical and Trade Schools,0,2,11,A,-2,-2,,-3,1,0,147,147,2,0,14,http://nces.ed.gov/GLOBALLOCATOR/,WWW.TIPHAWAII.COM,,2010/01/15
141963,University of Hawaii System Office,2444 Dole St,,Honolulu,HI,96822,2301,US,8089564153,15,15003,21.29929305800,-157.81725776900,0,1,1,611310,"Colleges, Universities, and Professional Schools",11,1,11,A,-2,-2,UH |UH System,-3,-2,0,0,0,-2,0,405,http://nces.ed.gov/GLOBALLOCATOR/,www.hawaii.edu/,,2010/09/01
141981,University of Hawaii-West Oahu,96-129 Ala Ike,,Pearl City,HI,96782,3699,US,8662998656,15,15003,21.39414200000,-157.98210500000,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,11,A,-2,-2,UHWO |UH at West Oahu,6,2,744,396,1140,2,0,100,http://nces.ed.gov/GLOBALLOCATOR/,www.uhwo.hawaii.edu,,2010/01/15
141839,Maui Community College,310 Kaahumanu Ave,,Kahului,HI,96732,1644,US,8089843267,15,15009,20.89056100000,-156.47985400000,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,33,A,-2,-2,MCC |Maui CC,2,2,1959,1328,3287,1,44,324,http://nces.ed.gov/GLOBALLOCATOR/,www.maui.hawaii.edu/index.php,,2010/01/15
