2015 GEOID,"2010 Census Percent Rural",,,,,,,,,,,,,
01001,42.00216232,,,,,,,,,,,,,
01003,42.27909911,,,,,,,,,,,,,
01005,67.7896347,,,,,,,,,,,,,
01007,68.35260746,,,,,,,,,,,,,
01009,89.95150204,,,,,,,,,,,,,
01011,51.37438153,,,,,,,,,,,,,
01013,71.23215735,,,,,,,,,,,,,
01015,33.69682556,,,,,,,,,,,,,
01017,49.14803449,,,,,,,,,,,,,
01019,85.73627304,,,,,,,,,,,,,
01021,86.74472424,,,,,,,,,,,,,
01023,100,,,,,,,,,,,,,
01025,75.98033523,,,,,,,,,,,,,
01027,100,,,,,,,,,,,,,
01029,100,,,,,,,,,,,,,
01031,47.19508289,,,,,,,,,,,,,
01033,43.89468656,,,,,,,,,,,,,
01035,80.94950106,,,,,,,,,,,,,
01037,100,,,,,,,,,,,,,
01039,69.65179399,,,,,,,,,,,,,
01041,100,,,,,,,,,,,,,
01043,73.23955924,,,,,,,,,,,,,
01045,50.88853953,,,,,,,,,,,,,
01047,45.63897764,,,,,,,,,,,,,
01049,90.1306445,,,,,,,,,,,,,
01051,54.18836614,,,,,,,,,,,,,
01053,63.51157389,,,,,,,,,,,,,
01055,37.48348176,,,,,,,,,,,,,
01057,80.23316513,,,,,,,,,,,,,
01059,70.36651527,,,,,,,,,,,,,
01061,89.64165733,,,,,,,,,,,,,
01063,100,,,,,,,,,,,,,
01065,89.16878173,,,,,,,,,,,,,
01067,87.75286094,,,,,,,,,,,,,
01069,33.80405133,,,,,,,,,,,,,
01071,77.01730325,,,,,,,,,,,,,
01073,9.83367554,,,,,,,,,,,,,
01075,100,,,,,,,,,,,,,
01077,49.29510619,,,,,,,,,,,,,
01079,91.28978712,,,,,,,,,,,,,
01081,27.40871723,,,,,,,,,,,,,
01083,57.60914208,,,,,,,,,,,,,
01085,100,,,,,,,,,,,,,
01087,55.54726832,,,,,,,,,,,,,
01089,16.44151477,,,,,,,,,,,,,
01091,69.31564179,,,,,,,,,,,,,
