county_fips,state,county,statename,countyname,rfc_per_1000_hhs,rfc_per_1000_hhs_nbp,total_prov,total_residential_prov,total_residential_prov_nbp,tmw_prov
01001,01,001,Alabama,Autauga County,4,3,12,8,5,4
01003,01,003,Alabama,Baldwin County,4,1,20,11,8,5
01005,01,005,Alabama,Barbour County,3,1,9,7,1,1
01007,01,007,Alabama,Bibb County,2,0,6,1,1,1
01009,01,009,Alabama,Blount County,3,1,14,11,8,4
01011,01,011,Alabama,Bullock County,2,0,5,5,1,1
01013,01,013,Alabama,Butler County,3,1,9,8,1,1
01015,01,015,Alabama,Calhoun County,3,1,14,9,5,4
01017,01,017,Alabama,Chambers County,3,2,9,8,1,1
01019,01,019,Alabama,Cherokee County,3,1,9,8,1,4
01021,01,021,Alabama,Chilton County,3,1,11,7,1,4
01023,01,023,Alabama,Choctaw County,2,1,6,6,1,1
01025,01,025,Alabama,Clarke County,2,1,12,9,4,1
01027,01,027,Alabama,Clay County,3,1,8,6,1,4
01029,01,029,Alabama,Cleburne County,3,1,6,6,1,4
01031,01,031,Alabama,Coffee County,4,1,11,8,1,4
01033,01,033,Alabama,Colbert County,3,2,13,6,1,4
01035,01,035,Alabama,Conecuh County,2,1,10,6,1,1
01037,01,037,Alabama,Coosa County,2,1,9,7,5,4
01039,01,039,Alabama,Covington County,3,1,11,10,4,1
01041,01,041,Alabama,Crenshaw County,3,1,12,9,1,1
01043,01,043,Alabama,Cullman County,3,1,14,10,6,1
01045,01,045,Alabama,Dale County,3,1,10,8,1,4
01047,01,047,Alabama,Dallas County,3,1,11,6,4,1
01049,01,049,Alabama,DeKalb County,3,1,13,9,5,4
01051,01,051,Alabama,Elmore County,4,1,16,11,7,4
01053,01,053,Alabama,Escambia County,3,1,12,9,1,4
01055,01,055,Alabama,Etowah County,3,2,14,9,6,4
01057,01,057,Alabama,Fayette County,3,1,8,7,1,1
01059,01,059,Alabama,Franklin County,2,1,13,7,5,1
01061,01,061,Alabama,Geneva County,3,1,11,8,1,4
01063,01,063,Alabama,Greene County,2,0,9,6,1,4
01065,01,065,Alabama,Hale County,2,1,7,6,1,4
01067,01,067,Alabama,Henry County,3,1,9,7,1,4
01069,01,069,Alabama,Houston County,4,2,14,9,1,4
01071,01,071,Alabama,Jackson County,3,1,12,9,5,1
01073,01,073,Alabama,Jefferson County,4,2,26,12,10,4
01075,01,075,Alabama,Lamar County,3,0,7,5,1,1
01077,01,077,Alabama,Lauderdale County,3,2,13,7,1,4
01079,01,079,Alabama,Lawrence County,2,1,11,9,6,4
01081,01,081,Alabama,Lee County,4,2,15,10,5,4
01083,01,083,Alabama,Limestone County,3,2,15,9,6,4
01085,01,085,Alabama,Lowndes County,2,1,9,6,4,1
01087,01,087,Alabama,Macon County,2,1,10,7,4,1
01089,01,089,Alabama,Madison County,4,3,20,10,8,4
01091,01,091,Alabama,Marengo County,2,1,9,6,1,1
01093,01,093,Alabama,Marion County,3,1,7,5,1,1
01095,01,095,Alabama,Marshall County,3,2,14,9,4,4
01097,01,097,Alabama,Mobile County,3,1,19,11,5,5
01099,01,099,Alabama,Monroe County,3,1,6,5,1,1
01101,01,101,Alabama,Montgomery County,4,3,17,9,5,4
01103,01,103,Alabama,Morgan County,3,2,15,9,7,4
01105,01,105,Alabama,Perry County,2,0,5,4,1,1
01107,01,107,Alabama,Pickens County,3,0,8,6,1,1
01109,01,109,Alabama,Pike County,3,2,13,10,5,1
01111,01,111,Alabama,Randolph County,3,0,8,6,1,1
01113,01,113,Alabama,Russell County,3,1,9,4,1,5
