county_fips,rfc_per_1000_hhs,pcat_3x768
01001,4,3
01003,5,3
01005,3,3
01007,3,2
01009,3,2
01011,2,2
01013,4,2
01015,3,3
01017,3,3
01019,3,1
01021,3,2
01023,3,1
01025,3,2
01027,3,2
01029,3,1
01031,4,3
01033,3,3
01035,2,2
01037,2,2
01039,4,2
01041,3,2
01043,3,3
01045,3,2
01047,3,2
01049,3,3
01051,5,4
01053,3,2
01055,3,3
01057,3,1
01059,3,2
01061,3,2
01063,2,2
01065,2,2
01067,3,2
01069,4,3
01071,4,3
01073,4,4
01075,3,1
01077,3,3
01079,2,2
01081,4,3
01083,4,3
01085,2,1
01087,3,2
01089,5,4
01091,3,2
01093,3,1
01095,4,3
01097,4,3
01099,3,1
01101,4,4
01103,4,3
01105,2,2
01107,3,1
01109,3,2
01111,3,2
01113,3,2
01115,4,3
01117,5,4
01119,2,2
01121,3,2
01123,4,4
01125,4,4
01127,3,2
01129,3,1
01131,3,2
01133,3,1
02013,5,0
02016,3,1
02020,5,4
02050,3,2
02060,4,2
02068,4,4
02070,3,1
02090,4,3
02100,4,1
02105,2,1
02110,5,4
02122,4,3
02130,4,4
02150,5,4
02164,3,1
02170,5,5
02180,3,2
02185,4,2
02188,3,2
02195,4,3
02198,2,1
02220,4,3
02230,3,1
02240,3,1
02261,5,4
02270,2,1
02275,3,3
02282,3,0
02290,2,1
04001,3,1
04003,4,3
04005,4,3
04007,4,3
04009,4,3
04011,4,3
04012,3,2
04013,5,4
04015,4,3
04017,4,2
04019,4,4
04021,4,4
04023,4,2
04025,4,3
04027,4,3
05001,2,1
05003,3,2
05005,4,3
05007,5,4
05009,4,3
05011,3,2
05013,3,2
05015,3,3
05017,3,2
05019,3,3
05021,3,2
05023,4,3
05025,3,1
05027,3,2
05029,3,2
05031,4,3
05033,3,3
05035,3,2
05037,3,2
05039,2,2
05041,2,2
05043,3,2
05045,4,3
05047,3,2
05049,3,2
05051,4,3
05053,3,2
05055,4,3
05057,3,2
05059,3,2
05061,2,2
05063,3,3
05065,3,2
05067,3,2
05069,3,2
05071,3,2
05073,3,1
05075,3,2
05077,2,2
05079,2,1
05081,3,2
05083,3,2
05085,4,3
05087,3,1
05089,4,2
05091,3,3
05093,3,2
05095,2,2
05097,3,2
05099,2,1
05101,3,1
05103,3,2
05105,3,2
05107,3,2
05109,3,2
05111,2,2
05113,3,2
05115,4,3
05117,2,1
05119,4,4
05121,3,2
05123,2,2
05125,4,3
05127,2,1
05129,3,2
05131,4,3
05133,3,2
05135,4,2
05137,3,2
05139,3,3
05141,3,1
05143,4,4
05145,3,2
05147,2,1
05149,3,2
06001,5,4
06003,5,5
06005,5,3
06007,4,3
06009,5,4
06011,4,2
06013,5,5
06015,4,4
06017,5,4
06019,4,3
06021,3,3
06023,4,4
06025,4,3
06027,4,3
06029,4,4
06031,4,3
06033,4,3
06035,4,2
06037,5,4
06039,4,3
06041,5,5
06043,4,4
06045,4,3
06047,4,3
06049,3,2
06051,3,3
06053,4,4
06055,5,4
06057,5,3
06059,5,5
06061,5,5
06063,4,2
06065,5,5
06067,5,4
06069,4,4
06071,5,4
06073,5,5
06075,5,4
06077,4,4
06079,5,4
06081,5,5
06083,4,4
06085,5,4
06087,5,4
06089,4,3
06091,4,3
06093,3,2
06095,5,4
06097,5,4
06099,4,4
06101,4,4
06103,4,2
06105,2,2
06107,3,3
06109,4,3
06111,5,5
06113,4,4
06115,4,4
08001,5,4
08003,4,3
08005,5,5
08007,5,3
08009,3,2
08011,2,1
08013,5,5
08014,5,5
08015,4,4
08017,4,2
08019,5,4
08021,3,2
08023,3,3
08025,3,2
08027,5,3
08029,4,3
08031,4,4
08033,4,2
08035,5,5
08037,5,5
08039,5,4
08041,5,5
08043,4,4
08045,5,4
08047,4,3
08049,5,5
08051,5,5
08053,5,3
08055,4,3
08057,4,2
08059,5,4
08061,3,2
08063,3,2
08065,4,4
08067,4,3
08069,5,5
08071,4,3
08073,4,2
08075,4,3
08077,4,4
08079,5,3
08081,5,4
