,county_fips,Residual
7,01015,-0.13338111931821572
16,01033,-0.15829684386096687
27,01055,-0.19334612252907846
38,01077,-0.21581495891081204
44,01089,-0.009190379479150579
48,01097,-0.4625020087293592
51,01103,-0.38312940674825313
56,01113,-0.2909998411923027
58,01117,-0.23084343013084663
69,02020,-0.542666310539687
74,02090,-0.15795875444962348
77,02110,-0.5335032943868896
79,02130,-0.2542883731169354
80,02150,-0.051306112906416956
88,02220,-0.4426348205680881
98,04007,-0.3027042796871058
99,04009,-0.04783810350770068
100,04011,-0.15205748835452937
102,04013,-0.06569380503594857
107,04023,-0.15064920574997132
110,05001,-0.15114136456446658
115,05011,-0.8360502039192852
125,05031,-0.4408997354981352
127,05035,-0.29748116349756515
130,05041,-0.9203116275201353
131,05043,-1.030025242891952
135,05051,-0.47624347800524447
137,05055,-0.18479043435860376
144,05069,-1.214482788932827
155,05091,-0.3989306050606274
163,05107,-0.6306812308736482
172,05125,-0.7639431720673997
175,05131,-0.5112238213026217
185,06001,-0.3624685363857054
192,06015,-0.2789290400064033
193,06017,-0.3024865327525674
194,06019,-0.3178208828682614
195,06021,-0.08327666639556242
198,06027,-0.6670638432311478
200,06031,-0.2567234526103732
203,06037,-0.7950542502338749
204,06039,-0.003829601266119198
205,06041,-0.3337726562044452
207,06045,-0.6284827969319622
208,06047,-0.03381785197640852
210,06051,-1.0355533259165668
212,06055,-0.31313153002494687
213,06057,-0.23177093182655994
218,06067,-0.19560131629873467
222,06075,-0.8488855124366239
224,06079,-0.2546496195435566
225,06081,-0.154787056225814
226,06083,-0.09381048948938542
227,06085,-0.04454148338300001
228,06087,-0.3849064169117753
232,06095,-0.2955496313841195
233,06097,-0.43226559436163825
238,06107,-0.04475004355941792
239,06109,-0.5839776772208154
241,06113,-0.04546123028865168
242,06115,-0.35610416774639475
244,08003,-0.4078668928787863
245,08005,-0.4741071397170913
248,08011,-0.9363554616212753
259,08031,-0.02467141289957908
261,08035,-0.19910979807164608
264,08041,-0.28756693959743984
266,08045,-0.10944297405853831
275,08063,-0.3188583346230871
278,08069,-0.3689941478314438
279,08071,-0.3192669627818816
282,08077,-0.054573878193707515
284,08081,-0.6345820953958139
286,08085,-0.5957721787569881
287,08087,-0.29342383905134284
288,08089,-0.09507477901948391
292,08097,-0.08073716772585726
293,08099,-0.24142800407895493
294,08101,-0.6398229790873131
297,08107,-0.6361468405023061
308,09003,-0.22698942718761828
311,09009,-0.24110037933496642
312,09011,-0.14352450689102625
316,10003,-0.3109254009997642
318,11001,-0.169656802172085
323,12009,-0.22047019208616803
324,12011,-0.35390651639241355
326,12015,-2.6424793958312875e-05
328,12019,-0.12305041264451688
333,12031,-0.018727894082928742
335,12035,-0.09650788450539949
342,12049,-0.4643096253111878
345,12055,-0.3582021985855022
346,12057,-0.11378276436275314
348,12061,-0.018312466551861917
353,12071,-0.08625892743302188
354,12073,-0.08923581065556618
360,12085,-0.18418325968553972
366,12095,-0.14583958366591787
368,12099,-0.34271682193258357
370,12103,-0.26968660260536126
373,12109,-0.38694633544216117
375,12113,-0.04509499838476927
376,12115,-0.2704889208871748
393,13015,-0.4045172794299674
396,13021,-0.4165384934253211
401,13031,-0.2773462870690935
411,13053,-0.584333702636485
416,13063,-0.7134525743314555
418,13067,-0.5588974795004447
421,13073,-0.23273108863793368
425,13081,-0.8365255431506
429,13089,-0.1803606333973562
432,13095,-0.28937896208992697
442,13115,-0.13483837101679796
443,13117,-0.6313722691557757
445,13121,-0.20030751896692323
452,13135,-0.39898767950032266
460,13151,-0.11801767745211578
474,13179,-0.05093133187801868
496,13225,-0.19048121961665743
506,13245,-0.5088179905908703
511,13255,-0.00210201464605575
519,13271,-0.6704592493511541
521,13275,-0.16095862506577419
522,13277,-0.022262868529765
526,13285,-0.19943863352807512
531,13295,-0.18281608438417152
533,13299,-0.15902327110043757
546,15003,-0.6196884433837226
549,16001,-0.32486520972543076
562,16027,-0.5388338899781502
571,16045,-0.39017158394605644
576,16055,-0.05408272527560598
581,16065,-0.7182062746381064
582,16067,-0.022167963485230757
583,16069,-0.8535393832669911
586,16075,-0.4922417713336813
587,16077,-0.24060868520629697
592,16087,-0.21609115959623182
612,17039,-1.490656466850055
619,17053,-0.4473870915566067
620,17055,-0.1266600977863277
631,17077,-0.43578825843391655
637,17089,-0.0951290394998523
638,17091,-0.5219780297573777
639,17093,-0.40166105777871053
640,17095,-0.3632969487994444
641,17097,-0.41048036442052194
642,17099,-0.5736387305933022
645,17105,-0.3397001955853227
646,17107,-0.3254846358734653
647,17109,-0.43935966758024847
648,17111,-0.3469727993721108
649,17113,-0.07492605658802631
650,17115,-0.6213086564508501
653,17121,-0.1987241518063172
659,17133,-0.005246156624679088
661,17137,-1.3960277978695785
663,17141,-0.5441525266938925
